2013	0	387085	367709	754794
2012	1	393264	374542	767806
2011	2	395245	378192	773437
2010	3	404057	384862	788919
2009	4	401697	382869	784566
2008	5	403382	385767	789149
2007	6	402022	382894	784916
2006	7	409520	390145	799665
2005	8	400689	382592	783281
2004	9	399505	380478	779983
2003	10	396471	380941	777412
2002	11	401515	382148	783663
2001	12	405451	389788	795239
2000	13	414448	397328	811776
1999	14	397266	379501	776767
1998	15	395762	377964	773726
1997	16	395236	374604	769840
1996	17	401353	382045	783398
1995	18	397389	379360	776749
1994	19	384314	367007	751321
1993	20	377397	363529	740926
1992	21	386664	375709	762373
1991	22	382528	376734	759262
1990	23	383824	379146	762970
1989	24	378731	379770	758501
1988	25	380623	383919	764542
1987	26	378370	383303	761673
1986	27	381739	391416	773155
1985	28	380341	390464	770805
1984	29	375751	391297	767048
1983	30	373723	383505	757228
1982	31	399163	409826	808989
1981	32	402199	415930	818129
1980	33	409302	419787	829089
1979	34	389236	397370	786606
1978	35	382995	389392	772387
1977	36	388289	394389	782678
1976	37	381128	383878	765006
1975	38	393214	395755	788969
1974	39	417519	418437	835956
1973	40	440148	442800	882948
1972	41	451402	455209	906611
1971	42	448030	452354	900384
1970	43	438412	443341	881753
1969	44	430773	436773	867546
1968	45	427452	435844	863296
1967	46	425162	433617	858779
1966	47	434930	444661	879591
1965	48	435797	445233	881030
1964	49	437751	453509	891260
1963	50	432024	446688	878712
1962	51	417441	432896	850337
1961	52	418004	434468	852472
1960	53	415899	432340	848239
1959	54	413039	430936	843975
1958	55	401413	422341	823754
1957	56	399834	421618	821452
1956	57	394862	420166	815028
1955	58	389323	418822	808145
1954	59	389596	417391	806987
1953	60	379267	409196	788463
1952	61	384482	416965	801447
1951	62	374406	405025	779431
1950	63	389143	420940	810083
1949	64	380863	414362	795225
1948	65	381072	412592	793664
1947	66	370112	403527	773639
1946	67	349277	384003	733280
1945	68	259874	290064	549938
1944	69	251712	284856	536568
1943	70	243259	277353	520612
1942	71	225280	256824	482104
1941	72	197226	231081	428307
1940	73	203109	241519	444628
1939	74	208806	256077	464883
1938	75	200915	253489	454404
1937	76	193056	248205	441261
1936	77	188336	249286	437622
1935	78	178555	244940	423495
1934	79	175782	247063	422845
1933	80	160953	236600	397553
1932	81	158273	239111	397384
1931	82	144669	227651	372320
1930	83	135624	222902	358526
1929	84	116828	201514	318342
1928	85	104162	189214	293376
1927	86	91258	174576	265834
1926	87	79533	161968	241501
1925	88	68738	147598	216336
1924	89	56057	129325	185382
1923	90	46264	113973	160237
1922	91	37955	99832	137787
1921	92	30587	85284	115871
1920	93	24373	71174	95547
1919	94	10738	33756	44494
1918	95	6793	23640	30433
1917	96	4330	16744	21074
1916	97	2624	11547	14171
1915	98	2222	9712	11934
1914	99	2220	10937	13157
1913	100	1132	7187	8319
1912	101	751	4352	5103
1911	102	480	2792	3272
1910	103	303	1735	2038
1909	104	140	699	839
1908	105	44	837	881
